msg_id,datetime,channel,text
534,2026-07-23T15:15:33Z,durov,"🇬🇪 Very impressed with Georgia.

🏔 The country is known for its warm people, ancient culture, local food and epic landscapes. 

But it doesn’t stop there.

📈 Thanks to its government’s business-friendly policies, Georgia is becoming a **major business hub**.

❎️ The country’s economy **doubled** in **5 years** and is still growing by **8% a yea**r.

💼 International tech companies pay **0%** corporate tax and just **5% on dividends** and salaries.

Georgia is seriously underrated as a place to visit and do business.

I'll be back very soon! ✈️"
533,2026-07-21T14:36:55Z,durov,"🌍 This summer will see **the largest rollout** of a non-custodial crypto wallet in human history.

⚡️**Instant zero-fee** crypto transactions for over **a billion users** are about to become reality.

💎 We're bringing a **native** non-custodial **Gram wallet** to **every Telegram app**! 🏳️"
532,2026-07-19T21:45:01Z,durov,"🎠 Telegram now supports carousels

One small step for messaging, one giant leap toward turning cat photos into keynote presentations. 😺"
531,2026-07-16T20:45:25Z,durov,"🩵 Telegram now has a **Rich Text Editor**.

It supports tables, headings, inline media, lists, AI content, formulas, and more.

😈 Messaging apps will never be the same!"
529,2026-06-16T15:05:29Z,durov,"🚫 India’s IT ministry banned Telegram for one week because some users shared leaked exam questions.

This punishes **150 million** ordinary Telegram users in India — not the insiders who leaked the exam materials.

And the ban hasn't stopped anything. The leaks just moved to other apps.

🛡 We’ve done a lot to help fix the problem — even though its source is not Telegram.

Over the past few weeks, we removed hundreds of channels sharing leaked exam materials and related scams in India.

We’ve also been making the “edited” label more visible to prevent backdating scams.

🏳️ Telegram is a force for good. Banning it — even temporarily — is a mistake."
528,2026-06-15T18:58:13Z,durov,"⛔️ The UK government wants to ban social media for children under 16.

But banning social media for kids only puts them in greater danger.

They will be pushed to use VPNs — and unlock far worse illegal content.

We’ve seen this before.

When the Russian government banned Telegram, 95% of Russian teenagers kept using it. They just moved to VPNs. Same in Iran.

Parents already have the tools to restrict their kids’ digital habits: parental controls, screen-time limits — or no smartphone at all.

🤦‍♂️ Instead, many parents give toddlers iPads just to keep them quiet.

No amount of government regulation will fix that.

Under the new law, all social media users in the UK will have to “prove” they’re over 16 — with an ID, face scan or bank card.

🚨 Thousands in the UK are already arrested for political posts every year. 

Is this really about protecting children — or identifying more people to arrest?

__P. S. More about digital freedom in __[__my speech__](https://www.youtube.com/watch?v=1Yq_5aDdJ24)__ — the source material for our **$200,000** __[__clipping contest__](https://t.me/contest/456)__.__"
527,2026-06-15T15:53:15Z,durov,"🏆 **Telegram** is launching a **$200,000 contest** for content creators.

🎬 Create a video about **digital freedom** using ideas and footage from [this speech](https://www.youtube.com/watch?v=1Yq_5aDdJ24) — plus any content or ideas of your own.

📈 Pass **10,000+** organic views for a chance to win a share of the prize fund.

📣 [Full details](https://t.me/contest/456) in the @contest channel."
526,2026-06-13T20:15:20Z,durov,"🖥 Don't be surprised if you see tables, nested lists, inline media, formulas, headers and more in Telegram messages.

📖 We now support rich formatting for all chatbots.

🔨 Start building! [Docs for chatbot devs →](https://core.telegram.org/bots/api#rich-message-formatting-options)"
525,2026-06-12T19:15:19Z,durov,"🔄 Telegram’s [new update](https://telegram.org/blog/watch-apps-and-more) is out. Lots of great new features.

😂 But most importantly: the announcement is actually fun to read."
524,2026-06-11T17:54:31Z,durov,"⌚️ Telegram is now on **Wear OS**.

Owners of Galaxy Watch, Pixel Watch, Xiaomi Watch and other smartwatches — enjoy! ☕️"
523,2026-06-09T19:33:51Z,durov,⌚️ A fully native **Telegram app for Apple Watch** is out.
521,2026-06-01T15:40:13Z,durov,"💎 **TON**’s native currency is becoming **Gram**.

🤑 [Gram](https://gram.org/) was the original name of **TON**’s currency in the first white paper.

🌱 We’re returning to our roots — and starting a new chapter.

✈️ This rebranding will pave the way for **what comes next**.

⏳ The transition will take around **3 weeks**. 

💪 **TON** remains the name of the blockchain.

🪙 This is step** 4 **of **7** to [Make TON Great Again](https://t.me/durov/482)."
520,2026-05-23T13:26:07Z,durov,"🎭 WhatsApp encryption is a giant fraud.

🇺🇸 The state of Texas [just sued](https://www.reuters.com/legal/government/texas-sues-meta-whatsapp-over-encryption-privacy-claims-2026-05-21/) WhatsApp for lying to users about privacy — because WhatsApp employees have access to “virtually all” private messages.

Now we know what WhatsApp’s founder meant when he said he “sold his users’ privacy.”

Stay safe — stay Telegram! 📱"
519,2026-05-20T15:38:10Z,durov,"🤖 Your Telegram inbox can now run itself.

Assign a bot to read and reply for you — with granular control over its rights and chat access. 🧠

⚙️ [Start building](https://core.telegram.org/bots/features#secretary-bots)!"
518,2026-05-19T18:02:53Z,durov,"💪 Anyone can now prompt their own text transformation style — for example, **“Gym Bro”** — and turn any message into motivational protein poetry.

💪 Then share the style with friends so they can reply like gym bros too.

🤐 All fully confidential. No AI-related privacy leaks."
517,2026-05-18T14:56:21Z,durov,"🧠 AI devs asked for this — and we delivered.

🤖 Bots can now talk to other bots on Telegram.

💬 Autonomous agents now have a communication layer humans can follow.

🛠 [Start building](https://core.telegram.org/bots/features#bot-to-bot-communication)!"
516,2026-05-17T14:55:50Z,durov,🎁
515,2026-05-17T14:44:56Z,durov,"🏆 We just awarded **$52,420** to the winners of the Telegram [Art Contest](https://t.me/contest/453).

🎨 The participants did an amazing job with the MiniDurov collectibles.

💎 Their skills and ideas will enrich Telegram’s TON-based NFT ecosystem."
